State,avg_monthly_ssi_payment,caps,arp_caregiver_family_support,ui_good_cause_caregiving,spousal_impoverishment,hcbs_expenditure_ratio,hcbs_user_ratio,pct_ltss_hcbs_older_adults,home_health_aides_per100,arp_waiting_list_diversion,arp_tech_telehealth,arp_cross_sector_investments,livability_transportation,livability_housing,hcbs_presumptive_eligibility,section_811_pra,vr_spending_career,vr_spending_training,special_ed_policy_score,arp_workforce_training,buy_in_working_people,subminimum_wage_14c,medicaid_eligibility_threshold,ssi_auto_enroll_medicaid,medically_needy,ssi_criteria_209,arp_quality_improvement,smd_demonstration_projects,initial_ar,reconsidered_ar,total_ar,adl_medicaid_coverage_pct,private_ltci_per1000,section_811_pct_disability,fema_shmp,family_responsibility_class,sdpi_minmax,sdpi_zscore,sdpi_hybrid
Georgia,0.2620203604407408,0.17004048582995948,0.03942652329749104,1,0,0,0,0,1,1,1,0,0.3813559322033898,0.7499999999999999,1,1,0.29985652797704443,0.13829787234042554,1,0,1,0.13496932515337398,1,0.7734374999999999,0.4172413793103446,0.33431085043988273,0.10434782608695652,0.10526315789473684,1,0,0.0967741935483871,0.6363636363636364,0,1,1,0,0.47067442761685874,-0.030639096575454394,0.18363160244814308
Hawaii,0.09804228695562331,0.01214574898785425,0.10035842293906809,0.5,1,0,0,1,1,1,0,0.35135135135135137,0.2796610169491525,0.8646788990825687,0,1,0.2840746054519368,0.1021276595744681,0,1,0,0.2760736196319019,1,0.39843749999999994,0.3310344827586205,0.45454545454545464,0.7391304347826086,0.2631578947368421,1,0,0.5161290322580645,0.09090909090909091,0,0,0,0,0.31090442100828336,-0.24330943928107343,0.09874222319717615
Idaho,0.30321064989492313,0.2712550607287449,0.2258064516129032,0.5,0,0,0,0,0,1,0,0.04054054054054054,0.7033898305084746,0.7499999999999999,1,0,0.4031563845050215,0.3872340425531915,0,0,1,0.4355828220858893,0,0.25781250000000006,0.35862068965517235,0.3665689149560118,0.06956521739130435,0.7894736842105263,0,0,0.3225806451612903,0.5909090909090909,0,0,0,0,0.2398365604912192,-0.30538293566636715,0.18870896203811263
Illinois,0.45027407995913354,0.06882591093117409,0.11827956989247312,0.5,0,0,0,1,1,1,0,0.35135135135135137,0.23050847457627122,0.6444954128440368,0,1,0.46771879483500717,0.31702127659574475,0,0,1,0.36196319018404904,0,0.41406250000000006,0.38620689655172397,0.32844574780058644,0.28695652173913044,0.3157894736842105,1,1,0.2903225806451613,0.3181818181818182,0,1,0,0,0.35765172952830687,-0.20146528464312058,0.15508337013020101
Indiana,0.4267815189959191,0.08097165991902833,0.17921146953405015,1,0,0,0,0,0,1,0,0.35135135135135137,0.288135593220339,0.378440366972477,1,0,0.13916786226685796,0.20212765957446807,1,1,0,0.36196319018404904,0,0.41406250000000006,0.38620689655172397,0.46041055718475066,0.11304347826086956,0.42105263157894735,1,0,0.22580645161290322,0.6818181818181818,0,1,0,0,0.3464416583124702,-0.3158362675086345,0.10602903533811456
Iowa,0.2612372753706799,0.3724696356275303,0.16487455197132617,1,0,0,0,0,0,1,0,0,0.28474576271186447,0.5321100917431192,1,1,0.20229555236728838,0.15106382978723407,1,0,1,0.6871165644171777,1,0.24999999999999994,0.49655172413793097,0.33431085043988273,0.5565217391304348,0.5789473684210527,1,1,0.41935483870967744,0.8181818181818182,0,0,0,0,0.36003289661921595,-0.13363917609229942,0.2518295293451559
Kansas,0.3133907594979596,0.24291497975708498,0.22222222222222218,0,1,0,0,1,0,1,0,0,0.4779661016949153,0.7110091743119265,1,1,0.40889526542324245,0.2702127659574468,0,0,1,0.7423312883435581,0,0.5624999999999999,0.6655172413793102,0.33431085043988273,0.4608695652173913,0.5789473684210527,0,1,0.3225806451612903,0.6363636363636364,0,0,0,0,0.32912966395879717,-0.11847480735466835,0.2781633353774807
Kentucky,0.3499608459311092,0.1659919028340081,0.2903225806451613,1,0,1,0,0,0,1,0,0,0.21355932203389832,0,1,1,0.07030129124820658,0.04468085106382982,1,0,1,0,0,0,0,0.48387096774193555,0.11304347826086956,0.47368421052631576,1,0,0.12903225806451613,0.6818181818181818,0,0,0,0,0.2717505709827951,-0.3827602818006631,0.01995885365326703
Louisana,0.3936570083479354,0.08502024291497974,0.4193548387096775,0.5,1,1,1,0,1,1,1,0,0.06779661016949153,0.268348623853211,1,1,0.12625538020086083,0.20212765957446807,1,1,1,0.2760736196319019,1,0.5546875000000001,0.3999999999999998,0.6480938416422287,0.12173913043478261,0.2631578947368421,1,0,0.2903225806451613,0.6818181818181818,1,1,0,0,0.5244813121845975,0.1858563603116182,0.363517710854602
Maine,0.19444009415644525,0.10931174089068826,0.10035842293906809,1,1,0,0,1,0,1,1,0.35135135135135137,0.5050847457627118,0.40137614678899075,1,1,0.30989956958393117,0.30000000000000004,1,1,0,0.41717791411042937,1,0.78125,0.5793103448275861,1,0.28695652173913044,0.7894736842105263,1,0,0.25806451612903225,0.9090909090909091,0,1,0,1,0.5642541122589614,0.3990814220477679,0.572854323121689
